phuong_phap,nhom,symbol,khung,doan,nguong,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,song_sot,ghi_chu
pa_pinbar,PriceAction,audjpy,M5,IS,0.1,124477,-0.27813,40.53,0.621,-0.2336,34621.98,-0.28499,-0.27106,False,nan
pa_pinbar,PriceAction,audjpy,M5,OOS,0.1,52472,-0.42232,39.65,0.488,-0.3508,22168.13,-0.43326,-0.41202,False,nan
pa_pinbar,PriceAction,audjpy,M5,VALID,0.1,30411,-0.2972,40.23,0.6,-0.2505,9040.02,-0.31071,-0.28408,False,nan
pa_engulfing,PriceAction,audjpy,M5,IS,0.1,63445,-0.29632,39.78,0.599,-0.2506,18800.66,-0.30562,-0.28732,False,nan
pa_engulfing,PriceAction,audjpy,M5,OOS,0.1,28937,-0.42846,39.7,0.482,-0.3562,12399.59,-0.44232,-0.41496,False,nan
pa_engulfing,PriceAction,audjpy,M5,VALID,0.1,18881,-0.31824,39.43,0.575,-0.2703,6016.24,-0.3351,-0.3017,False,nan
pa_inside_outside,PriceAction,audjpy,M5,IS,0.1,40086,-0.28675,39.62,0.61,-0.2424,11500.98,-0.29848,-0.27533,False,nan
pa_inside_outside,PriceAction,audjpy,M5,OOS,0.1,14057,-0.39262,39.37,0.512,-0.3277,5521.48,-0.41285,-0.3734,False,nan
pa_inside_outside,PriceAction,audjpy,M5,VALID,0.1,13581,-0.2958,40.2,0.597,-0.2513,4025.1,-0.31503,-0.27629,False,nan
pa_bos,PriceAction,audjpy,M5,IS,0.1,103307,-0.34628,38.1,0.554,-0.2904,35773.95,-0.35345,-0.33911,False,nan
pa_bos,PriceAction,audjpy,M5,OOS,0.1,44731,-0.45573,38.55,0.464,-0.3767,20386.37,-0.46645,-0.44436,False,nan
pa_bos,PriceAction,audjpy,M5,VALID,0.1,24568,-0.33555,38.91,0.563,-0.2828,8246.18,-0.3497,-0.32051,False,nan
smc_fvg,SMC/ICT,audjpy,M5,IS,0.1,108750,-0.3373,38.41,0.561,-0.2835,36682.53,-0.34457,-0.33029,False,nan
smc_fvg,SMC/ICT,audjpy,M5,OOS,0.1,47831,-0.44806,38.7,0.469,-0.3719,21432.32,-0.45886,-0.43692,False,nan
smc_fvg,SMC/ICT,audjpy,M5,VALID,0.1,25565,-0.32338,39.29,0.573,-0.2735,8272.35,-0.33885,-0.30905,False,nan
smc_order_block,SMC/ICT,audjpy,M5,IS,0.1,42751,-0.31356,38.92,0.585,-0.2643,13413.95,-0.32453,-0.30241,False,nan
smc_order_block,SMC/ICT,audjpy,M5,OOS,0.1,18338,-0.43183,38.92,0.483,-0.3587,7926.19,-0.44882,-0.41455,False,nan
smc_order_block,SMC/ICT,audjpy,M5,VALID,0.1,10855,-0.35415,37.97,0.544,-0.3,3848.86,-0.37526,-0.33158,False,nan
smc_liq_sweep,SMC/ICT,audjpy,M5,IS,0.1,44366,-0.21102,42.27,0.696,-0.1773,9375.64,-0.22146,-0.1999,False,nan
smc_liq_sweep,SMC/ICT,audjpy,M5,OOS,0.1,14336,-0.34025,41.06,0.56,-0.2833,4881.99,-0.36018,-0.32052,False,nan
smc_liq_sweep,SMC/ICT,audjpy,M5,VALID,0.1,14837,-0.27208,40.99,0.625,-0.2298,4044.46,-0.2915,-0.25391,False,nan
smc_premium_disc,SMC/ICT,audjpy,M5,IS,0.7,76167,-0.19798,43.9,0.714,-0.1643,15089.82,-0.20647,-0.18917,False,nan
smc_premium_disc,SMC/ICT,audjpy,M5,OOS,0.7,34000,-0.3524,42.46,0.551,-0.2905,11995.19,-0.36513,-0.33961,False,nan
smc_premium_disc,SMC/ICT,audjpy,M5,VALID,0.7,19033,-0.2525,41.81,0.647,-0.2126,4806.84,-0.26955,-0.23575,False,nan
elliott_zigzag,Elliott,audjpy,M5,IS,0.1,69810,-0.34252,37.95,0.554,-0.29,23917.29,-0.35128,-0.33369,False,nan
elliott_zigzag,Elliott,audjpy,M5,OOS,0.1,30263,-0.44074,38.86,0.473,-0.3669,13348.89,-0.45498,-0.42685,False,nan
elliott_zigzag,Elliott,audjpy,M5,VALID,0.1,17117,-0.32843,39.11,0.566,-0.2785,5627.49,-0.34639,-0.31132,False,nan
wyckoff_spring,Wyckoff,audjpy,M5,IS,0.1,12231,-0.22367,41.93,0.682,-0.1877,2736.7,-0.24507,-0.20305,False,nan
wyckoff_spring,Wyckoff,audjpy,M5,OOS,0.1,3860,-0.35728,40.73,0.547,-0.2957,1387.49,-0.39661,-0.31995,False,nan
wyckoff_spring,Wyckoff,audjpy,M5,VALID,0.1,4185,-0.25889,42.13,0.643,-0.2166,1097.7,-0.29487,-0.22262,False,nan
sd_zone,Supply/Demand,audjpy,M5,IS,0.1,65529,-0.22696,42.31,0.676,-0.1907,14881.44,-0.23611,-0.2175,False,nan
sd_zone,Supply/Demand,audjpy,M5,OOS,0.1,27004,-0.36992,41.19,0.533,-0.3068,9994.95,-0.38428,-0.35509,False,nan
sd_zone,Supply/Demand,audjpy,M5,VALID,0.1,17747,-0.27248,41.06,0.624,-0.2305,4839.52,-0.28971,-0.25551,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M5,IS,0.1,49632,-0.21229,43.73,0.696,-0.1763,10545.87,-0.22272,-0.20225,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M5,OOS,0.1,22832,-0.36578,42.69,0.537,-0.3015,8356.86,-0.38179,-0.35053,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M5,VALID,0.1,11524,-0.24996,42.22,0.648,-0.2111,2882.06,-0.27233,-0.22898,False,nan
ctrl_channel_break,Đối chứng,audjpy,M5,IS,0.1,58510,-0.36352,37.27,0.539,-0.305,21270.42,-0.37303,-0.35374,False,nan
ctrl_channel_break,Đối chứng,audjpy,M5,OOS,0.1,25312,-0.45213,38.48,0.47,-0.372,11442.96,-0.46678,-0.43698,False,nan
ctrl_channel_break,Đối chứng,audjpy,M5,VALID,0.1,15049,-0.3354,38.81,0.565,-0.2813,5049.81,-0.35381,-0.3171,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M5,IS,0.7,102257,-0.21897,43.39,0.689,-0.1814,22393.55,-0.22651,-0.21147,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M5,OOS,0.7,43920,-0.36369,42.5,0.541,-0.299,15977.13,-0.37507,-0.35205,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M5,VALID,0.7,25084,-0.26427,41.64,0.636,-0.2216,6630.15,-0.27946,-0.25015,False,nan
pa_pinbar,PriceAction,audjpy,M15,IS,0.7,15552,-0.14759,41.19,0.769,-0.127,2314.52,-0.16652,-0.12939,False,nan
pa_pinbar,PriceAction,audjpy,M15,OOS,0.7,7439,-0.20788,40.96,0.695,-0.1776,1567.74,-0.23545,-0.18093,False,nan
pa_pinbar,PriceAction,audjpy,M15,VALID,0.7,3163,-0.17637,40.06,0.73,-0.1527,577.11,-0.21536,-0.13567,False,nan
pa_engulfing,PriceAction,audjpy,M15,IS,0.1,22577,-0.18127,39.54,0.723,-0.1572,4097.55,-0.19644,-0.1658,False,nan
pa_engulfing,PriceAction,audjpy,M15,OOS,0.1,9894,-0.23035,39.85,0.665,-0.1984,2280.65,-0.25301,-0.20777,False,nan
pa_engulfing,PriceAction,audjpy,M15,VALID,0.1,6187,-0.18306,39.83,0.719,-0.1596,1132.68,-0.21128,-0.15349,False,nan
pa_inside_outside,PriceAction,audjpy,M15,IS,0.1,15853,-0.17885,39.61,0.727,-0.1546,2846.14,-0.19617,-0.16138,False,nan
