phuong_phap,nhom,symbol,khung,doan,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,phu_thuoc_gio,n_thap,ghi_chu
pin_bar,price_action,audjpy,H4,IS,1927,-0.077,39.9,0.87,-0.066,168.7,-0.1265,-0.0241,False,False,
pin_bar,price_action,audjpy,H4,OOS,817,0.0012,43.6,1.0,0.001,34.8,-0.0784,0.081,False,False,"DatetimeIndex(['2001-01-02 20:00:00', '2001-01-03 00:00:00',
               '2001-01-03 04:00:00', '2001-01-03 08:00:00',
               '2001-01-03 12:00:00', '2001-01-03 16:00:00',
               '2001-01-03 20:00:00', '2001-01-04 00:00:00',
               '2001-01-04 04:00:00', '2001-01-04 08:00:00',
               ...
               '2026-06-09 16:00:00', '2026-06-09 20:00:00',
               '2026-06-10 00:00:00', '2026-06-10 04:00:00',
               '2026-06-10 08:00:00', '2026-06-10 12:00:00',
               '2026-06-10 16:00:00', '2026-06-10 20:00:00',
               '2026-06-11 00:00:00', '2026-06-11 04:00:00'],
              dtype='datetime64[us]', name='timestamp', length=40521, freq=None)"
pin_bar,price_action,audjpy,H4,VALID,492,-0.0382,41.3,0.94,-0.032,27.9,-0.1495,0.0698,False,False,
engulfing,price_action,audjpy,H4,IS,1546,-0.0939,39.9,0.85,-0.081,163.2,-0.1469,-0.0323,False,False,
engulfing,price_action,audjpy,H4,OOS,672,-0.0164,42.7,0.97,-0.014,34.6,-0.1025,0.0783,False,False,"DatetimeIndex(['2001-01-02 20:00:00', '2001-01-03 00:00:00',
               '2001-01-03 04:00:00', '2001-01-03 08:00:00',
               '2001-01-03 12:00:00', '2001-01-03 16:00:00',
               '2001-01-03 20:00:00', '2001-01-04 00:00:00',
               '2001-01-04 04:00:00', '2001-01-04 08:00:00',
               ...
               '2026-06-09 16:00:00', '2026-06-09 20:00:00',
               '2026-06-10 00:00:00', '2026-06-10 04:00:00',
               '2026-06-10 08:00:00', '2026-06-10 12:00:00',
               '2026-06-10 16:00:00', '2026-06-10 20:00:00',
               '2026-06-11 00:00:00', '2026-06-11 04:00:00'],
              dtype='datetime64[us]', name='timestamp', length=40521, freq=None)"
engulfing,price_action,audjpy,H4,VALID,408,-0.04,41.4,0.93,-0.034,27.4,-0.1593,0.0693,False,False,
inside_outside,price_action,audjpy,H4,IS,1403,-0.0018,43.1,1.0,-0.002,51.1,-0.0611,0.0577,False,False,
inside_outside,price_action,audjpy,H4,OOS,606,-0.0133,42.2,0.98,-0.011,34.9,-0.1098,0.0917,False,False,"DatetimeIndex(['2001-01-02 20:00:00', '2001-01-03 00:00:00',
               '2001-01-03 04:00:00', '2001-01-03 08:00:00',
               '2001-01-03 12:00:00', '2001-01-03 16:00:00',
               '2001-01-03 20:00:00', '2001-01-04 00:00:00',
               '2001-01-04 04:00:00', '2001-01-04 08:00:00',
               ...
               '2026-06-09 16:00:00', '2026-06-09 20:00:00',
               '2026-06-10 00:00:00', '2026-06-10 04:00:00',
               '2026-06-10 08:00:00', '2026-06-10 12:00:00',
               '2026-06-10 16:00:00', '2026-06-10 20:00:00',
               '2026-06-11 00:00:00', '2026-06-11 04:00:00'],
              dtype='datetime64[us]', name='timestamp', length=40521, freq=None)"
inside_outside,price_action,audjpy,H4,VALID,395,-0.0618,40.8,0.9,-0.052,47.5,-0.1795,0.0455,False,False,
bos,smc,audjpy,H4,IS,1244,0.0271,43.8,1.05,0.023,28.6,-0.038,0.0943,False,False,
